iter	MultiClass
0	1.53507767
1	1.473021227
2	1.423927702
3	1.378446275
4	1.338977123
5	1.306083144
6	1.272951698
7	1.24386077
8	1.219721149
9	1.198470237
10	1.177445826
11	1.160197243
12	1.145593339
13	1.130246563
14	1.116075041
15	1.102722553
16	1.091310712
17	1.08161617
18	1.072041921
19	1.063089563
20	1.055072507
21	1.045196144
22	1.038054039
23	1.031248406
24	1.027159037
25	1.02030558
26	1.015111125
27	1.007849171
28	1.002171923
29	0.99572706
30	0.9907303083
31	0.9847374485
32	0.9799011712
33	0.9752281095
34	0.9716891519
35	0.967242589
36	0.9630800536
37	0.9590877295
38	0.9541905955
39	0.9501280563
40	0.9465061524
41	0.9419817669
42	0.9377289255
43	0.935201565
44	0.9315088713
45	0.9282657477
46	0.9252365239
47	0.9213589164
48	0.9181994021
49	0.9153421849
50	0.9116308677
51	0.9091439827
52	0.9064324383
53	0.9041916873
54	0.9010862794
55	0.8988597697
56	0.895497552
57	0.8922776566
58	0.889070698
59	0.887591282
60	0.8841519317
61	0.8830014266
62	0.8808712123
63	0.8790679728
64	0.8770524542
65	0.8746241045
66	0.8727896244
67	0.8704017957
68	0.8691746087
69	0.8657857462
70	0.8630825503
71	0.8610864853
72	0.8596721224
73	0.8578180827
74	0.855938446
75	0.8546880196
76	0.8526741079
77	0.8500631507
78	0.8482258048
79	0.8458351814
80	0.843178595
81	0.8417117487
82	0.8394809588
83	0.8373398793
84	0.8351989297
85	0.8340838915
86	0.833095561
87	0.8322296273
88	0.8306528353
89	0.8290535233
90	0.8272950725
91	0.8258199015
92	0.8240986123
93	0.8221042528
94	0.8200974861
95	0.819049709
96	0.8170464755
97	0.8154957498
98	0.8132050318
99	0.8113348066
100	0.8095823186
101	0.8075794036
102	0.8065376215
103	0.8048662525
104	0.8033856911
105	0.8022529346
106	0.8006406324
107	0.7985951239
108	0.7974259351
109	0.7961873987
110	0.7945119159
111	0.7934512125
112	0.792596159
113	0.7912744689
114	0.7893170307
115	0.7880023002
116	0.7868695065
117	0.7850787753
118	0.7839413515
119	0.7825973249
120	0.780513888
121	0.7784328933
122	0.7768290173
123	0.7753976702
124	0.774279739
125	0.7733868931
126	0.7719593745
127	0.7689994806
128	0.7672802366
129	0.766165521
130	0.7649469796
131	0.763144528
132	0.7618844463
133	0.7609820857
134	0.7597596667
135	0.7585063121
136	0.7567775963
137	0.7557493902
138	0.7542443219
139	0.7525465288
140	0.7505482992
141	0.7497266467
142	0.7485224173
143	0.7468019572
144	0.7457950883
145	0.7450644334
146	0.7439708333
147	0.7427388535
148	0.742046266
149	0.740295804
150	0.7391361401
151	0.7369162743
152	0.7358098684
153	0.7350898417
154	0.7347714888
155	0.7338138829
156	0.7324692142
157	0.7309632544
158	0.7299843574
159	0.7291856225
160	0.728575272
161	0.727341872
162	0.7261314032
163	0.7248132796
164	0.7236209929
165	0.7230357389
166	0.7210131584
167	0.7198606816
168	0.7180570927
169	0.7173940101
170	0.7165848636
171	0.7154037915
172	0.7142602841
173	0.7131689546
174	0.7121783543
175	0.7109571853
176	0.7100663219
177	0.7085764344
178	0.7071762168
179	0.7065700207
180	0.7054485414
181	0.7043024904
182	0.7029988349
183	0.7020471823
184	0.7013670349
185	0.7009986091
186	0.699415281
187	0.6989341296
188	0.6975679481
