iter	Passed	Remaining
0	133	133571
1	137	68813
2	142	47280
3	147	36787
4	152	30255
5	155	25843
6	160	22749
7	164	20454
8	169	18614
9	172	17123
10	177	15986
11	181	14973
12	185	14102
13	189	13356
14	194	12745
15	198	12219
16	202	11726
17	206	11271
18	210	10867
19	214	10522
20	218	10201
21	222	9902
22	226	9641
23	230	9390
24	235	9180
25	239	8967
26	243	8770
27	247	8598
28	251	8421
29	255	8270
30	259	8113
31	264	7991
32	267	7844
33	271	7706
34	275	7583
35	279	7496
36	283	7383
37	287	7277
38	291	7182
39	295	7097
40	299	6998
41	302	6907
42	306	6821
43	309	6731
44	314	6664
45	317	6584
46	321	6526
47	325	6461
48	329	6391
49	332	6326
50	336	6262
51	341	6218
52	344	6162
53	348	6103
54	351	6046
55	355	5994
56	359	5949
57	363	5900
58	367	5853
59	371	5823
60	375	5785
61	379	5738
62	382	5695
63	387	5664
64	391	5627
65	395	5589
66	398	5556
67	403	5531
68	407	5496
69	411	5463
70	415	5438
71	419	5409
72	424	5391
73	428	5358
74	431	5327
75	436	5302
76	440	5279
77	444	5257
78	448	5229
79	452	5207
80	457	5193
81	461	5167
82	465	5144
83	470	5131
84	474	5110
85	479	5092
86	484	5079
87	488	5062
88	492	5045
89	497	5029
90	502	5020
91	506	5002
92	510	4981
93	516	4975
94	520	4960
95	524	4942
96	530	4937
97	535	4925
98	539	4912
99	543	4895
100	548	4884
101	552	4866
102	557	4858
103	561	4838
104	565	4822
105	569	4803
106	573	4785
107	577	4767
108	582	4760
109	586	4742
110	590	4726
111	594	4712
112	598	4697
113	603	4686
114	607	4673
115	611	4662
116	616	4655
117	621	4642
118	624	4625
119	628	4612
120	632	4598
121	636	4583
122	640	4568
123	645	4556
124	648	4541
125	652	4523
126	655	4508
127	660	4498
128	664	4483
129	667	4467
130	670	4451
131	675	4439
132	678	4425
133	682	4410
134	686	4395
135	689	4380
136	694	4377
137	698	4361
138	701	4347
139	705	4334
140	710	4328
141	713	4314
142	717	4301
143	721	4287
144	725	4276
145	729	4265
146	732	4251
147	736	4237
148	739	4225
149	748	4239
150	751	4227
151	755	4214
152	759	4205
153	763	4192
154	766	4179
155	770	4168
156	775	4161
157	778	4150
158	782	4138
159	785	4125
160	789	4115
161	793	4104
162	796	4091
163	800	4080
164	804	4069
165	808	4062
166	812	4050
167	815	4039
168	820	4032
169	824	4023
170	827	4013
171	831	4002
172	834	3990
173	838	3981
174	842	3972
175	846	3961
176	849	3950
177	853	3943
178	857	3933
179	861	3922
180	864	3911
181	868	3901
182	872	3893
183	875	3883
184	879	3872
185	882	3861
186	886	3854
187	890	3844
188	893	3834
189	897	3824
190	900	3815
191	905	3809
192	908	3799
193	912	3789
194	915	3781
195	920	3774
196	923	3765
197	927	3755
198	930	3746
199	935	3742
200	939	3735
201	943	3726
202	946	3717
203	950	3708
204	955	3705
205	959	3697
206	963	3689
207	967	3682
208	970	3674
209	974	3666
210	978	3657
211	981	3649
212	985	3642
213	990	3636
214	993	3629
215	997	3622
216	1003	3621
217	1007	3615
218	1011	3608
219	1017	3606
220	1025	3615
221	1030	3611
222	1034	3605
223	1039	3599
224	1043	3592
225	1046	3585
226	1051	3581
227	1055	3574
228	1059	3567
229	1063	3560
230	1067	3554
231	1071	3547
232	1075	3540
233	1079	3533
234	1083	3527
235	1087	3521
236	1091	3515
237	1095	3508
238	1100	3503
239	1104	3498
240	1108	3491
241	1112	3485
242	1117	3480
243	1121	3474
244	1125	3468
245	1129	3462
246	1134	3458
247	1138	3451
248	1141	3444
249	1145	3437
250	1149	3431
251	1153	3424
252	1157	3418
253	1161	3411
254	1165	3405
255	1169	3399
256	1173	3392
257	1177	3385
258	1181	3380
259	1185	3372
260	1188	3365
261	1192	3357
262	1196	3354
263	1200	3347
264	1204	3339
265	1207	3332
266	1212	3327
267	1216	3321
268	1219	3314
269	1223	3306
270	1227	3302
271	1231	3297
272	1235	3290
273	1239	3283
274	1242	3276
275	1247	3271
