Sentence,Topic
There was no member of staff present to offer advice about an alternative flights and the customer service desk stated they would not deal with it but we had to await an email.,Lack of Staff
"Many staff standing around doing very little at Terminal 5,",Others
"I was forced by the ground staff to check in my new,",Others
I was informed that the plane was full and assured by staff that my luggage would be well taken care of.,Staff Attitude
all manual check in by understaffed BA staff who were all unhelpful.,Staff Attitude
constantly ignored by BA staff who don’t have the patience to listen to your situation or be helpful.,Staff Attitude
but I feel completely humiliated and treated like second class citizen by multiple BA staff through the whole ordeal.,Staff Attitude
I was told by the staff outsourced by British Airways to check in passengers that only yoyo prams were accepted on board.,Others
"and then again for another 40 mins while waiting to board the plane (I was ""allowed"" early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down).",Others
there was a noticeable lack of staff—another apparent cost-cutting measure by BA.,Staff Attitude
and there were no staff to assist.,Others
I could not recline my seat and the staff was rude and unhelpful to me.,Others
I literally had to beg the rude and dismissive ground staff in Madrid not to check my roller bag at gate because I recently had surgery and needed to hold onto it to walk.,Others
I will never understand how you can allow your staff to openly mock and insult your passengers.,Others
During the flight I felt that a staff member was very unprofessional towards me.,Others
I recently had a delay on British Airways from BRU to LHR that was due to staff shortages.,Others
The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight.,Others
understaffed and poorly equipped.,Others
Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow).,Staff Attitude
Cabin staff don't bother implementing their own rules.,Lack of Staff
very welcoming and attentive in flight staff and the flight even arrived early.,Others
Anyone with a connecting flight couldn't rebook on the application because the app wouldn't disassociate our first flight with the connecting one in London and the staff saw this but still refused to help us.,Staff Attitude
The worst thing was the utter callousness that staff showed towards customers.,Others
"The ground staff’s attitude was that they are merely third party agents,",Others
I guess staff are badly paid from their terrible attitude and service.,Lack of Staff
"was that the plane was short staffed (Later I discovered,",Staff Attitude
that not only the flight was short staffed but also it was overbooked).,Staff Attitude
All the staff said was that we were going to receive an email in a couple hours with options to rebook the flight or get a refund.,Others
The staff are very rude and not trained properly.,Others
2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance.,Staff Attitude
3) Staff were quite unpleasant.,Others
A single BA staff member turned up to board a full flight shortly before the flight was due to depart.,Staff Attitude
Once on board the captain blamed Frankfurt ground staff for delaying takeoff when clearly late boarding had resulted in a missed departure slot.,Others
Why don't you hire enough personnel to fulfil your staff demand.,Others
No BA staff available.,Staff Attitude
Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse.,Staff Attitude
staff there would have been given the instruction to make things right.,Others
"Staff uncommunicative,",Others
Trusting BA's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket.,Staff Attitude
"The pilot then announced he had received the documents for the wrong flight from ground staff,",Others
"Of course AMS is not BAs home base and it uses contracted staff here,",Others
"Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.",Others
Boarding was chaotic and no management of the process by ground staff.,Others
no food and beverage unless you pay extra but the staff were friendly.,Others
On board the staff are ok but on the long Cairo-London route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers.,Others
The staff at the gate was very cordial and helpful once we arrived there.,Others
Staff at the terminal rude.,Others
Most customers she serves have a complaint Staff don't care as poor service and unhappy customers is a routine occurrence.,Lack of Staff
The Staff were efficient.,Others
the British Airways staff in Heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service.,Lack of Staff
All the staff members repeat the same mantra - “we are not obliged to provide even an update for the first 24 hours” as if that would make the situation better.,Others
The ground staff were not helpful.,Others
The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed.,Others
Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot.,Staff Attitude
"Rude staff on BA297 from LHR to ORD on April 05,",Others
the BA staff onboard yelled at my wife and asked her to be go back to seat.,Staff Attitude
Horrible flight with disappointing staff.,Others
"Held up at transit security by a clown of a member of staff,",Others
Staff were rude demanding selected passengers put their hand luggage in the hold.,Others
"Staff need customer training,",Others
"At the airport the staff at the British Airways check-in counter are not BA employees,",Staff Attitude
