,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
3,False,February,2.0,2024.0,2024-02-01,Denmark,Family Leisure,Copenhagen to Port of Spain via London,2.0,5,yes,"BA is not what it used to be! As much as I like their onboard crew their check in staff lacked interest in their job and safety. At no point did he make eye contact or ask Security questions and counters opened 7 minutes late. Crew from CPH was wonderful but announcements were too loud and too many,  maybe I was just grumpy! Took less than 15 to get out of LHR through self service and transfer to LGW was a breeze. Crew on the POS sector was OK, had an aisle Seat and was bumped into by a cabin crew booty continuously for 9 hours. Not her fault but could never relax fully. One Caribbean Crew excelled and joined the Carnival spirit most passengers were feeling onboard. I wonder if BA management ever tasted the food onboard? Absolutely tasteless and some of the worst. I saved €550 choosing BA over KLM which was the only reason I chose Them. KLM is definitely a league over BA in many aspects and no need to change airports.",Copenhagen,Port of Spain,London
16,True,February,2.0,2024.0,2024-02-01,United Kingdom,Solo Leisure,London to Istanbul,2.0,2,no,"London Heathrow to Istanbul at the start of the half-term school holidays and so the flight was very busy indeed. Boarding was quite well managed with neatly presented and pleasant gate agents one of whom went out of her way to assist an elderly passenger with mobility issues. I felt singled out by a member of the BA crew who insisted that my small bag was taken and checked-in. Other passengers had large bags and were not stopped from taking them onto the flight. During the flight I felt that a staff member was very unprofessional towards me. I had an aisle seat and he spoke at length to the couple sitting next to me about their country of origin. I may as well have been invisible. The same member of the cabin crew then disappeared and returned with a selection of drinks and snacks from Business class for his compatriots. He managed to spill some liquid on me and did not even acknowledge me.  The A320 was clean, no IFE and not even a route-map to follow the journey. It was a rather clinical flight and exceptionally basic. I received a small bottle of water and two broken digestive biscuits. The wifi did not work and the ridiculous skyshop was not accessible either. I asked for a coffee and the cabin crew member kissed his teeth at me. Is this how low BA has fallen? I also noted tension between the same member of the cabin crew and 2 of his colleagues. This is not good enough. Disembarkation was remarkably orderly and civilized and the captain made an effort to engage with passengers during the flight with sensible updates.",London,Istanbul,
67,True,November,11.0,2023.0,2023-11-01,United States,Business,Brussels to London,1.0,2,no,"I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",Brussels,London,
71,True,September,9.0,2023.0,2023-09-01,Romania,Solo Leisure,Bucharest to Manchester via London,1.0,1,no,"Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.",Bucharest,Manchester,London
96,True,October,10.0,2023.0,2023-10-01,United Kingdom,Solo Leisure,Berlin to London,1.0,1,no,"BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",Berlin,London,
101,False,October,10.0,2023.0,2023-10-01,United Kingdom,Couple Leisure,Chicago to Manchester via Heathrow,2.0,2,no,"Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers.",Chicago,Manchester,London Heathrow
113,False,August,8.0,2023.0,2023-08-01,France,Family Leisure,San Diego to Marseille via London,1.0,3,no,"Everything was ok until our connecting flight in London, just before take off, we were on the runway, the pilot came on to announce an engine problem. After engineers tried to fix it while we waited on the plane for over an hour we were finally told that we would have to be evacuated and rebooked for another flight but not to worry because a special crew was waiting for us on the ground to help us and set us up in a hotel except that there was no one to help us. In fact everyone refused to help us. It was Saturday almost 8pm and they just wanted to go home. Anyone with a connecting flight couldn't rebook on the application because the app wouldn't disassociate our first flight with the connecting one in London and the staff saw this but still refused to help us. They gave us a phone number but there was only a message that said just to use the app. Finally I got someone on the phone who rebooked us for the next day. Now it's 10:30pm and I have to find a hotel room because the airline refused also to help us with that. So i had 2 choices either sleep in the airport or pay over 700GBP for a room. I don't have the money to pay for this but after a 10 hour flight, 8 hours of jet lag and the insane stress after the fact that no one from British Airways would help us I took the room. Of course I claimed reimbursement but that was over 3 weeks ago and I haven't heard anything since so I have no idea when or how much I'll be reimbursed, even though I'm not claiming any emotional compensation from the horrible situation they put me through due to their total indifference. It's financially difficult for me right now because the money I had to put out is equal to half my salary and of course it's impossible to reach them by phone. I feel still as i did on August 26 2023 completely trapped by them and their indifference with no solution or information",San Diego,Marseille,London
129,True,August,8.0,2023.0,2023-08-01,United Kingdom,,Los Angeles to London,1.0,1,no,"British Airways absolutely does not care. My reserved seat was change from an aisle to center seat for this overnight, full flight and it was quite awful. After enquiring at LAX check in, the agent said sorry, nothing we can do. Onboard the flight the attendants seemed to try and finish the meal service at a racing speed, with meals trays passed out with no proper questions about choice. Then back and clearing trays and they disappeared to rest in the kitchen for hours after that. No water runs, if you need anything do not bother with the call bell, as they simply ignore it. I used to like travelling British Airways 10-15 years ago, but the bean counters have been in and lowered it close to a lowcost carrier. I guess staff are badly paid from their terrible attitude and service. My last trip to London was with Delta, they are so much better than this very poor excuse of an airline that British Air has now become.",Los Angeles,London,
133,True,August,8.0,2023.0,2023-08-01,Germany,Solo Leisure,Frankfurt to London Heathrow,1.0,1,no,"I arrived at the airport about 2.5 hours before takeoff to have more than about time to get checked in, go through security, etc. All that went without any issues. Being that I was relatively early at the gate, I was one of the first passengers there. After some time boarding had opened. First the business class got called up, then families with children and disabled people. A couple minutes into the boarding they started to call up people, one by one, by name. Then there was an announcement: they won’t let anyone in anymore. Me and about fifty other people were still standing at the gate not being let in. The reason, they said, was that the plane was short staffed (Later I discovered, speaking to a manager, that not only the flight was short staffed but also it was overbooked). After the announcement people were getting angry because they wouldn’t be let in anymore. Nothing changed and everyone was sent away. I had a connecting flight later that day that I was going to miss because I was not let on the plane. First I tried to get my luggage back which I didn’t receive immediately but got a hold of later on thanks to the airport personnel. Then, just like everyone who was going to fly with the same plane, I wanted to talk to someone from British Airways. Since they don’t have a service center at Frankfurt Airport everyone went to the check-in counters where we received food vouchers but not a single person was either able to rebook my or anyone’s flight nor get anyone refunded. All the staff said was that we were going to receive an email in a couple hours with options to rebook the flight or get a refund. I waited four hours for the email at the airport that did not come until today. Trying to call the airline did not help either because they did not answer the phone or hung up in the middle of the conversation. After the four hours of waiting for the email me and some other people from the same flight went back to the check-in counter to get a confirmation from them that I will receive a refund. Being that there was a new shift the personell did not know what had happened. When they scanned my passport an looked at the flight they found out that the system was dying that it was my fault I could not attend the flight. It looked like I had missed it. For everyone standing there with me it was exactly the same. But the people at the counter said they could not do anything about it. Later on we were able to speak to the manager after many phone calls he said they were going to take care of it. We are supposed to get an email at some point in the future. I was not able to get a written confirmation that I will get refunded even after several times asking for it. I already flew a lot of times in my life but never ever has such a thing a happened to me. Not only that me and so many other people were not let into the plane but also the customer service being so horrible that they were not able to rebook or confirm a refund in any way. In the end the only option for me to get to my destination would have been to book a last minute flight for a lot of money which I would not know if I ever got it backed.",Frankfurt,London Heathrow,
145,False,August,8.0,2023.0,2023-08-01,United Kingdom,Family Leisure,London to Algiers,1.0,1,no,The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor,London,Algiers,
