,Unnamed: 0,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
6,6,True,February,2.0,2024.0,2024-02-01,United Kingdom,Couple Leisure,London Heathrow to Lisbon,2.0,3,no,"Poor from start to finish. Six months after purchasing our tickets I added an extra bag at the exorbitant cost of £130, but this transaction failed to make the system. I rang BA customer services only to be cut off without a reply. At LHR a manager had to be summoned to verify my printed receipt of payment. I was assured there would be no problem on the return trip. Wrong. Same experience at LIS! On board, an hour delay because of late discovery of technical fault. Old plane, with an uncomfortable seat with minimal legroom. Soggy cookie and small bottle of water offered free. Return trip, even more uncomfortable seat, made worse by the extra recline the passenger in front of me enjoyed due to his knackered seat. Once upon a time BA stood for something. No longer. Next time it is TAP, with their much newer planes.",London Heathrow,Lisbon,
10,10,False,February,2.0,2024.0,2024-02-01,United States,Couple Leisure,Phoenix to Lisbon via London,1.0,1,no,"We have flown BA five times from western USA to England. Always decent service. Never again. If you have a problem their website is impossible to navigate. It’s terrible,  takes you in endless repeating circles and loops that never lead to any resolutions. They lost our suitcase. We spent hours upon our arrival in Lisbon trying to navigate their website. It was frustrating and fruitless. Three days into our trip and we still are waiting for our clothing and toiletries and electronics. Can we talk to a real person? No. It’s impossible. We have even quit thinking about the $396 we spent to secure seats in Economy that turned out to have no extra legroom. We paid $400 extra for nothing. We are done with BA. Whoops, not quite. We still have to get home.",Phoenix,Lisbon,London
11,11,True,February,2.0,2024.0,2024-02-01,United Kingdom,Solo Leisure,London to Istanbul,2.0,2,no,"London Heathrow to Istanbul at the start of the half-term school holidays and so the flight was very busy indeed. Boarding was quite well managed with neatly presented and pleasant gate agents one of whom went out of her way to assist an elderly passenger with mobility issues. I felt singled out by a member of the BA crew who insisted that my small bag was taken and checked-in. Other passengers had large bags and were not stopped from taking them onto the flight. During the flight I felt that a staff member was very unprofessional towards me. I had an aisle seat and he spoke at length to the couple sitting next to me about their country of origin. I may as well have been invisible. The same member of the cabin crew then disappeared and returned with a selection of drinks and snacks from Business class for his compatriots. He managed to spill some liquid on me and did not even acknowledge me.  The A320 was clean, no IFE and not even a route-map to follow the journey. It was a rather clinical flight and exceptionally basic. I received a small bottle of water and two broken digestive biscuits. The wifi did not work and the ridiculous skyshop was not accessible either. I asked for a coffee and the cabin crew member kissed his teeth at me. Is this how low BA has fallen? I also noted tension between the same member of the cabin crew and 2 of his colleagues. This is not good enough. Disembarkation was remarkably orderly and civilized and the captain made an effort to engage with passengers during the flight with sensible updates.",London,Istanbul,
14,14,False,February,2.0,2024.0,2024-02-01,United Kingdom,Couple Leisure,London Heathrow to Casablanca,1.0,1,no,"Another case of reviewing British Airways flights that they have not actually provided. I booked several months ago for London to Casablanca via Madrid (with the Madrid to Casablanca leg on Iberia), returning from Marrakech direct on BA. First the Marrakech flight was cancelled, so I had to rebook on Royal Air Maroc. Now BA has changed the London to Madrid leg to be operated by Iberia. So, instead of my booking through ba.com having 2 out of 3 legs operated by BA, I now have none of them being BA flights - and they did not transfer my paid-for seat selection on London to Madrid, so I have got to arrange a refund of the payment. What is the point of an airline offering a service and taking your money for that service, only to decide later that they cannot be bothered to provide what you have paid for in good faith? Only giving 1 out of 10 because I cannot mark it as zero to reflect the zero service received.",London Heathrow,Casablanca,
16,16,False,October,10.0,2023.0,2023-10-01,United Kingdom,Couple Leisure,London Heathrow to Berlin,1.0,1,no,"I did not actually get to fly with BA as they cancelled the flight with 3 days notice and refused to offer an acceptable alternative, resulting in 2 people losing their holiday (a river cruise). Since then, as appears to be their standard protocol, they have ignored every communication regarding their obligations for compensation and I have no option but to pursue them via official channels.",London Heathrow,Berlin,
20,20,True,January,1.0,2024.0,2024-01-01,Ukraine,Business,London to Warsaw,1.0,3,yes,"I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!",London,Warsaw,
22,22,True,January,1.0,2024.0,2024-01-01,Germany,Solo Leisure,Boston to Düsseldorf via London,1.0,1,no,Worst service ever. Lost baggage because of delayed flight and missed connection and no one is helping to get it back. British Airways website is broken so it doesn’t let me fill missing report and doesn’t give me missing file report number and so no way to contact British Airways because they have dumbest ever AI chatbot.,Boston,Düsseldorf,London
25,25,False,January,1.0,2024.0,2024-01-01,United Kingdom,Family Leisure,London to Hong Kong,1.0,2,no,"I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.",London,Hong Kong,
28,28,True,January,1.0,2024.0,2024-01-01,Ireland,Family Leisure,Dublin  to London Heathrow,1.0,3,no,The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.,Dublin ,London Heathrow,
33,33,False,January,1.0,2024.0,2024-01-01,United States,Family Leisure,Rome to London,1.0,2,no,"Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.",Rome,London,
